connatix.com;Connatix;;;;
connectad.io;ConnectAd;;;;
connectignite.com;;;;;
conso.la;;;;;
console.cmcm.com;;;;;
consumable.com;;;;;
content.ad;;;;;
content-ad.net;;;;;
contextweb.com;PulsePoint;;;;
converge-digital.com;;;;;
conversantmedia.com;Conversant;;;;
cosmoshq.com;Cosmos;;;;
coull.com;;;;;
coxmt.com;Comet;;;;
cpactions.com;;;;;
cpmstar.com;;;;;
cpubmatic.com;;;;;
crimtan.com;;;;;
criteo.com;Criteo;;;;
criteo.net;Criteo;;;;
critero.com;Criteo;;;;
czilladx.com;;;;;
dailymotion.com;Dailymotion;;;;
danmarketplace.com;;;;;
darriens.com;;;;;
dashbida.com;;;;;
decenterads.com;;;;;
deepintent.com;;;;;
delivery.1worldonline.com;;;;;
demand.supply;;;;;
denakop.com;;;;;
deployads.com;;;;;
dianomi.com;;;;;
directadvert.ru;;;;;
display.io;;;;;
districtm.ca;District M;;;;
districtm.com;District M;;;;
districtm.io;District M;;;;
distroscale.com;;;;;
dochase.com;;;;;
do-global.com;;;;;
dotdash.com;;;;;
dsnrmg.com;;;;;
dtech.com;;;;;
dynadmic.com;;;;;
dyntrk.com;;;;;
eadv.it;;;;;
elaria.com;;;;;
electric-sheep.tv;;;;;
emodoinc.com;;;;;
emxdgt.com;EMX;;;;
engagebdr.com;;;;;
engageya.com;;;;;
enthusiastgaming.com;;;;;
entravision.com;;;;;
e-planning.net;E-Planning;;;;
epom.com;;;;;
etarg.network;;;;;
etarget.cz;;;;;
etargetnet.com;;;;;
evadav.com;;;;;
exoclick.com;;;;;
experian.com;;;;;
exponential.com;Exponential;;;;
exponential.comi;Exponential;;;;
facebook.com;Facebook;;;;
fair-trademedia.com;;;;;
fastlane.rubiconproject.com;Rubicon;;;;
fatchilli.media;;;;;
feed.eotech.co;;;;;
fidelity-media.com;;;;;
firstimpression.io;;;;;
fmlabsonline.com;;;;;
fout.jp;;;;;
freegames66.com;;;;;
freeskreen.com;SlimCut Media;;;;
freestar.io;;;;;
freewheel.com;FreeWheel;;;;
freewheel.tv;FreeWheel;;;;
ft.com;;;;;
fyber.com;Fyber;;;;
gammassp.com;;;;;
gamoshi.io;;;;;
gemlix.com;;;;;
genieesspv.jp;;;;;
getadmiral.com;;;;;
getintent.com;;;;;
getpolymorph.com;;;;;
ghaiat.com;;;;;
